Fecha,Ciudades,Nombre de la ciudad,Vistas
2025-12-01,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-02,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-03,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-04,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-05,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-06,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-07,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-08,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-09,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-10,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-11,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",14
2025-12-12,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-13,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-14,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-15,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-16,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-17,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-18,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-19,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-20,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-21,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-22,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-23,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-24,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-25,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-26,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-27,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-28,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-29,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-30,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-31,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-01,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-02,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-03,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-04,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-05,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-06,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-07,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-08,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-09,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-10,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-11,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",19
2025-12-12,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-13,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-14,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-15,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-16,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-17,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-18,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-19,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-20,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-21,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-22,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-23,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-24,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-25,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-26,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-27,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-28,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-29,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-30,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-31,0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",0
2025-12-01,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",0
2025-12-02,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",0
2025-12-03,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",10
2025-12-04,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",13
2025-12-05,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",57
2025-12-06,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",32
2025-12-07,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",118
2025-12-08,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",0
2025-12-09,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",10
2025-12-10,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",0
2025-12-11,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",541
2025-12-12,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",380
2025-12-13,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",76
2025-12-14,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",47
2025-12-15,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",40
2025-12-16,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",16
2025-12-17,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",14
2025-12-18,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",98
2025-12-19,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",0
2025-12-20,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",0
2025-12-21,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",0
2025-12-22,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",0
2025-12-23,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",0
2025-12-24,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",0
2025-12-25,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",0
2025-12-26,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",351
2025-12-27,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",139
2025-12-28,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",73
2025-12-29,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",0
2025-12-30,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",0
2025-12-31,0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",0
2025-12-01,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-02,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-03,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-04,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-05,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-06,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-07,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-08,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-09,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-10,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-11,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",44
2025-12-12,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-13,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-14,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-15,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-16,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-17,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-18,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",13
2025-12-19,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-20,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-21,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-22,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-23,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-24,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-25,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-26,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",24
2025-12-27,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-28,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-29,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-30,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-31,0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",0
2025-12-01,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-02,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-03,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-04,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-05,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-06,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-07,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-08,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-09,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-10,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-11,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-12,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-13,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-14,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-15,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-16,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-17,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-18,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-19,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-20,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-21,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-22,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-23,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-24,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-25,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-26,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",16
2025-12-27,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",10
2025-12-28,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-29,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-30,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
2025-12-31,0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",0
